Institution,Year,,Mean_Tone_Score,Median_Tone_Score,[ID],INSTITUTION,Institution_std,TLO Age,MEDSCHOOL,corrected_medschool,MEDSCHOOL (cat),STATE,STATE (cat),INSTTYPE,INSTTYPE (cat),Carnegie R1,Carnegie R2,Carnegie Classification (cat),Private,Private (cat),Stem program,Stem program (cat),Urbanicity,Urbanicity (cat),Land-Grant Institution,Land-Grant Institution (cat),Tot Res Exp,tot_res_expend,Tot Lic/Opt Exe,Fed Res Exp,Ind Res Exp,Leg Fees,Reimb Leg Fee,Act Lic,Excl Lic/Opt.,Lic w Equ,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Discl Lic,Non-Excl Lic/Opt,Lic Iss,Opt Iss,NEWCOMPSUPP,Lic Inc Equ,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Inc Other,Lic Inc Pd Oth,Net Licensing Income,License Income/Invention Disclosure,Gross Lic Inc,Lic Inc Run Roy,Inv Dis Rec,Fed Disclosure,INVDISRES,New Pat App Fld,For. Pat App Fld,Pro Pat App Fld,Util Pat App Fld,Tot Pat App Fld,Iss US Pat,Iss US Pat_Missing,New Prod,Cum Op St-Ups,St-Ups Cld,St-Ups in Home St,St-Ups Formed,startup_missing,St-Ups w Equ,Lic FTEs,Oth FTEs,Ex Copyright Lic,Ex Oth Non-Open Src Lic,Ex Pat Lic,Non-Ex Copyright Lic,Non-Ex Oth Non-Open Src Lic,Non-Ex Pat Lic,Tot Copyright Lic,Tot Oth Non_Open Src Lic,Tot Pat Lic,Non-Bin Gndr Disc,Non-Bin Gndr Disc (cat),Race Ethnicity,Race Ethnicity (cat),Non-Bin Gndr Pat,Non-Bin Gndr Pat (cat),Race Ethnicity Pat,Race Ethnicity Pat (cat),Institution_std_lower,Flat,Flat (cat),$0-10k,$10-50k,$50-100k,$100-300k,$300-500k,$0.5-1M,>$1M,Royalty Share,royalty_adjusted,royalty_adjusted_numerical,,weighted_share,Fee,Lab,Lab (cat),More,More (cat),combinedshare_LS,faculty2,matching,faculty2_corrected,invdisrec,newpatappfld,issuspat,discperfaculty2,appperfac2,issperfac2,ID,Duplicates,Num Duplicates,Institution Founding Year,Age_of_uni
Albert Einstein/Yeshiva,2015,Albert Einstein/Yeshiva2015,0.403530948,0.450706152,71137,Albert Einstein College of Medicine,Albert Einstein/Yeshiva,30,1,1,yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,180261448,,20,176947893,3313555,0,0,,2,1,13,5,2,,16,18,2,,$0.00 ,1,66,26,"$3,988,741.00 ","$96,115.00 ","$4,159,494.00 ","$63,992.22 ",4159494,170753,65,,,18,0,18,0,66,7,0,1,,,0,1,0,1,3,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,,,,,,,,10114,2015Albert Einstein/Yeshiva,199,,,,,,,Penn State University1991,0,1,1886,139
Albert Einstein/Yeshiva,2011,Albert Einstein/Yeshiva2011,0.350688588,0.43644599,95002,Albert Einstein College of Med/Yeshiva University,Albert Einstein/Yeshiva,26,1,1,Yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,183514082,,13,181124222,2389860,0,0,,2,1,8,4,1,25,6,8,5,0,$0.00 ,1,47,22,"$4,176,397.00 ", ,"$4,356,987.00 ","$90,770.56 ",4356987,180590,48,,,34,0,33,1,68,14,0,4,12,0,0,1,0,1,4,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,,,,,,,,10114,2011Albert Einstein/Yeshiva,199,,,,,,,Penn State University1994,0,1,1886,139
Albert Einstein/Yeshiva,2018,Albert Einstein/Yeshiva2018,0.380574079,0.417480373,71137,Albert Einstein College of Medicine,Albert Einstein/Yeshiva,33,1,1,yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,208009539,,17,190980627,2984980,0,0,,4,1,8,6,3,,13,17,0,,$0.00 ,1,61,24,"$4,044,113.00 ","$52,481.00 ","$4,594,938.00 ","$164,104.93 ",4594938,550825,28,,,17,0,17,0,53,25,0,1,24,0,0,1,0,1,2,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,#REF!,24.00%,0,No,0,No,54.76%,9767,2018Albert Einstein/Yeshiva,199,280,,34,0.17261115,,0.020959925,University of Washington1997,0,1,1886,139
Albert Einstein/Yeshiva,2017,Albert Einstein/Yeshiva2017,0.403530948,0.450706152,71137,Albert Einstein College of Medicine,Albert Einstein/Yeshiva,32,1,1,yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,184894950,,22,180347397,4547553,0,0,,5,2,7,10,5,,15,20,2,0,"$414,252.00 ",,74,,"$1,629,098.00 ","$103,887.00 ","$4,641,239.00 ","$89,254.60 ",4641239,2597889,52,,,25,0,25,0,59,14,0,5,,,2,5,0,2,2,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,#REF!,24.00%,0,No,0,No,54.76%,9767,2017Albert Einstein/Yeshiva,199,226,24,36,0.13932185,0.014795241,0.022192862,University of Washington1999,0,1,1886,139
Albert Einstein/Yeshiva,2012,Albert Einstein/Yeshiva2012,0.350688588,0.43644599,95002,Albert Einstein College of Med/Yeshiva University,Albert Einstein/Yeshiva,27,1,1,Yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,195244076,,15,192736489,2507587,0,0,,4,0,4,7,4,45,10,14,1,,$0.00 ,1,59,27,"$4,434,730.00 ", ,"$4,746,014.00 ","$68,782.81 ",4746014,311284,69,,,34,0,34,0,80,15,0,,,,0,,1,, , ,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,,,,,,,,9425,2012Albert Einstein/Yeshiva,199,,,,,,,Penn State University1993,0,1,1886,139
Albert Einstein/Yeshiva,2016,Albert Einstein/Yeshiva2016,0.403530948,0.450706152,71137,Albert Einstein College of Medicine,Albert Einstein/Yeshiva,31,1,1,yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,181309432,,22,176446392,4863040,0,0,,5,5,11,3,8,,14,19,3,0,$0.00 ,1,67,28,"$4,617,043.00 ","$74,779.00 ","$4,793,751.00 ","$119,843.78 ",4793751,176708,40,,,21,0,21,0,67,24,0,1,,,5,8,0,2,3,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,#REF!,24.00%,0,No,0,No,54.76%,9425,2016Albert Einstein/Yeshiva,199,145,81,49,0.089387916,0.04993394,0.03020695,University of Washington2001,0,1,1886,139
Albert Einstein/Yeshiva,2010,Albert Einstein/Yeshiva2010,0.350688588,0.43644599,95002,Albert Einstein College of Med/Yeshiva University,Albert Einstein/Yeshiva,25,1,1,Yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,152161016,,13,150343210,1817805,0,0,,3,2,5,6,2,57,8,11,2,0,"$2,843,256.00 ",2,31,25,"$3,508,266.00 ","$88,575.00 ","$6,496,431.00 ","$120,304.28 ",6496431,144909,54,,,20,0,20,0,40,19,0,,13,,0,2,0,2,4,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,,20.00%,0,No,0,No,26.67%,9188,2010Albert Einstein/Yeshiva,199,233,104,38,0.14363714,0.064112715,0.023425799,University of Washington2004,0,1,1886,139
Albert Einstein/Yeshiva,2020,Albert Einstein/Yeshiva2020,0.380574079,0.417480373,71137,Albert Einstein College of Medicine,Albert Einstein/Yeshiva,35,1,1,Yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,200763240,,31,197300000,3463240,0,0,,5,2,17,9,4,,16,26,5,,"$7,376,035.00 ",1,75,21, , ,"$9,518,848.00 ","$183,054.77 ",9518848,120746,52,,,20,0,20,11,24,20,0,,,,1,4,0,1,4,4,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,#REF!,24.00%,0,No,0,No,54.76%,9188,2020Albert Einstein/Yeshiva,199,142,44,19,0.08753851,0.02712461,0.011712899,University of Washington1995,0,1,1886,139
Arizona State University,1995,Arizona State University1995,,,80821,Arizona State University,Arizona State University,10,0,1,NO,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,42515322,,1,26703076,3293993,424826,79123,10,,0,,,,,,,,, ,,5,, ,$0.00 ,"($108,082.00)","$10,800.95 ",237621, ,22,,,13,,,,20,8,0,,,,,1,0,,1,1,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,,,,,,,9060,1995Arizona State University,496,,,,,,,University of New Hampshire2021,0,1,1885,140
Arizona State University,1996,Arizona State University1996,,,80821,Arizona State University,Arizona State University,11,0,1,NO,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,45438269,,10,30110196,3075174,158164,10887,52,10,0,1,6,3,,0,,,,"$70,000.00 ",,9,,$0.00 ,$0.00 ,"$340,360.00 ","$15,238.66 ",487637,417637,32,,,10,,,,12,18,0,,,,,3,0,,1, ,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,,,,,,,9060,1996Arizona State University,496,,,,,,,University of New Hampshire2019,0,1,1885,140
Arizona State University,1993,Arizona State University1993,,,80821,Arizona State University,Arizona State University,8,0,1,NO,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,36774154,,6,27077724,3038553,390352,54600,9,,3,,,,,,,,, ,,5,, ,$0.00 ,"$166,552.00 ","$20,929.33 ",502304, ,24,,,6,,,,6,4,0,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,,,,,,,9018,1993Arizona State University,496,,,,,,,University of New Hampshire2022,0,1,1885,140
Arizona State University,1998,Arizona State University1998,,,80821,Arizona State University,Arizona State University,13,0,1,NO,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,49946707,,8,32479629,5766739,521482,47132,32,8,0,3,5,0,,0,,,,$0.00 ,,15,,"$553,215.00 ",$0.00 ,"$128,963.00 ","$10,225.64 ",603313,50098,59,,,58,,,,58,8,0,2,,,,0,1,,1,2,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,,,,,,,9018,1998Arizona State University,496,,,,,,,University of New Hampshire2018,0,1,1885,140
Arizona State University,2019,Arizona State University2019,0.356887864,0.458509959,80821,Arizona State University,Arizona State University,34,0,1,No,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,639637000,,81,267087000,17112000,4284221,2115725,338,24,7,20,43,18,165,10,34,47,0,$0.00 ,0,36,13,"$634,646.00 ",$433.00 ,"($1,494,551.00)","$2,239.02 ",673945,39299,301,,,228,0,222,6,474,129,0,2,78,9,17,18,0,6,10,6,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,0.00%,0,No,0,No,30.00%,8800,2019Arizona State University,496,6,1,0,0.030234316,0.005039053,0,University of New Hampshire1995,0,1,1885,140
Arizona State University,2023,Arizona State University2023,0.356887864,0.458509959,71180,Arizona State University,Arizona State University,38,0,1,No,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,905703519,,46,342298648,24692897,4706677,1069453,349,23,3,11,43,,,7,30,46,,"$4,183.00 ",,32,7,"$629,033.00 ","$3,000.00 ","($2,942,976.00)","$2,203.96 ",694248,61032,315,134,,221,0,221,0,539,161,0,,87,26,8,21,0,3,10,7,2,0,21,0,1,6,2,1,27,,,0,No,,,0,No,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,#REF!,15.00%,0,No,0,No,61.25%,8800,2023Arizona State University,496,141,22,,0.08692204,0.013562305,,University of Washington1992,0,1,1885,140
Arizona State University,1997,Arizona State University1997,,,80821,Arizona State University,Arizona State University,12,0,1,NO,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,47423812,,8,32276390,5560807,409763,123186,24,7,0,5,3,0,,1,,,,$0.00 ,,15,,"$676,500.00 ",$0.00 ,"$444,730.00 ","$14,063.60 ",731307,54807,52,,,13,,,,16,9,0,3,,,1,2,0,,1,3,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,0.00%,0,No,0,No,,8614,1997Arizona State University,496,,,,,,,University of New Hampshire2015,0,1,1885,140
Arizona State University,2018,Arizona State University2018,0.356887864,0.458509959,95006,Arizona State Univ.,Arizona State University,33,0,1,no,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,617717000,,78,254384000,15225000,4092311,1698294,314,23,11,31,30,17,200,17,40,38,,$0.00 ,0,36,9,"$672,326.00 ","$4,209.00 ","($1,643,260.00)","$2,634.24 ",750757,78431,285,,,188,1,187,0,378,123,0,1,69,6,14,17,0,11,8,5,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,0.00%,0,No,0,No,30.00%,8614,2018Arizona State University,496,0,0,0,0,0,0,University of New Hampshire1996,0,1,1885,140
Arizona State University,2017,Arizona State University2017,0.45442319,0.494954593,95006,Arizona State Univ.,Arizona State University,32,0,1,no,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,546530000,,97,229135000,16587000,3770511,1439171,290,18,11,27,55,15,315,34,52,45,,$136.00 ,,38,14,"$653,369.00 ","$2,821.00 ","($1,560,897.00)","$2,781.38 ",770443,116938,277,,,183,0,183,0,392,85,0,1,58,13,11,15,0,11,8,5,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,0.00%,0,No,0,No,30.00%,8428,2017Arizona State University,496,6,3,0,0.030234316,0.015117158,0,University of New Hampshire1999,0,1,1885,140
Arizona State University,2020,Arizona State University2020,0.356887864,0.458509959,80821,Arizona State University,Arizona State University,35,0,1,No,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,673357244,,78,278149723,18148476,4503355,1595385,361,24,8,13,46,19,169,11,35,43,0,"$307,681.00 ",0,35,9,"$424,345.00 ","$14,393.00 ","($2,106,229.00)","$2,620.07 ",801741,69716,306,,,232,0,230,2,510,135,0,1,74,23,14,19,0,4,10,7,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,#REF!,24.00%,0,No,0,No,54.76%,8243,2020Arizona State University,496,225,,43,0.13870539,,0.026508141,University of Washington2002,0,1,1885,140
Arizona State University,1994,Arizona State University1994,,,80821,Arizona State University,Arizona State University,9,0,1,NO,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,37542853,,5,27306016,2582414,456265,0,10,,3,,,,,,,,, ,,6,, ,$0.00 ,"$418,619.00 ","$33,649.38 ",874884, ,26,,,8,,,,8,5,0,,,,,0,1,,1,1,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,,,,,,,8243,1994Arizona State University,496,,,,,,,University of New Hampshire2020,0,1,1885,140
